cgpa,backlog_history,DSA_problems_solved,GitHub_repos,development_projects_count,AI_ML_projects,internships_completed,hackathons_participated,self_learning_hours,resume_score
7.07,1,605,11.0,3,1,1,0,3.4,93
7.85,3,613,18.0,6,3,5,2,5.6,94
8.62,0,639,10.0,2,0,3,2,5.7,78
7.52,0,544,26.0,8,3,3,1,3.1,66
8.13,0,687,0.0,2,0,1,3,4.7,76
7.71,1,778,15.0,7,4,4,0,5.7,100
7.7,0,567,24.0,7,2,3,3,3.1,55
8.02,0,811,20.0,6,1,4,0,4.5,97
6.55,0,584,9.0,4,2,1,0,3.6,65
6.3,0,716,26.0,9,5,1,4,2.7,89
6.77,0,598,,5,1,2,0,3.4,68
6.32,3,375,5.0,6,4,4,6,3.9,100
8.65,0,722,6.0,2,0,2,3,4.6,84
7.49,0,717,11.0,2,1,0,2,2.9,48
7.37,0,662,15.0,8,4,3,3,3.8,88
6.51,0,483,7.0,3,0,1,1,3.1,61
5.79,0,722,26.0,7,2,1,0,2.0,93
8.21,2,765,22.0,8,2,3,1,6.3,74
8.22,0,744,27.0,9,4,2,0,4.8,98
8.87,0,500,32.0,11,7,4,2,4.7,100
6.6,0,549,19.0,5,5,0,3,1.2,80
7.94,2,732,10.0,2,0,2,1,2.3,74
7.72,2,577,22.0,4,2,4,3,2.3,96
8.52,0,524,25.0,5,0,1,1,3.6,72
7.13,0,624,8.0,1,0,1,1,3.4,68
8.2,0,776,2.0,1,1,4,6,4.4,81
8.69,0,822,6.0,3,1,1,2,3.3,69
8.16,0,818,24.0,8,3,5,1,4.1,100
6.62,2,682,18.0,5,1,1,1,3.5,57
8.13,1,967,40.0,12,6,8,3,7.7,100
7.22,0,627,26.0,10,6,3,3,3.6,100
9.98,0,594,14.0,5,4,4,0,4.7,99
8.13,0,883,20.0,7,3,3,5,3.1,83
7.58,0,630,24.0,8,4,4,3,4.0,91
6.8,0,714,21.0,7,6,1,0,1.4,82
6.65,2,587,26.0,7,4,1,4,4.6,88
6.99,1,706,31.0,10,6,5,0,5.7,100
8.64,0,592,20.0,8,5,3,2,4.6,97
7.17,0,355,18.0,9,4,4,0,5.8,100
7.6,1,735,16.0,6,1,5,5,5.2,95
7.72,0,657,21.0,9,3,4,1,3.7,100
7.3,0,754,8.0,3,0,1,5,2.0,88
7.18,1,676,17.0,5,2,0,3,3.0,67
7.37,0,534,13.0,3,0,1,4,4.3,61
8.15,0,640,17.0,7,5,2,2,3.0,60
7.2,2,649,15.0,7,6,0,1,2.4,67
8.28,0,735,21.0,8,3,2,3,4.1,82
7.82,1,845,22.0,7,2,2,4,6.3,100
7.51,0,696,19.0,7,5,2,5,3.4,81
6.91,1,704,37.0,12,5,6,4,5.4,100
7.18,0,757,29.0,9,1,3,3,4.2,100
6.63,0,677,31.0,11,4,3,4,2.4,100
7.98,0,713,19.0,6,2,1,5,2.1,69
6.95,0,515,13.0,5,4,2,0,3.5,83
8.42,1,672,12.0,2,0,1,0,3.4,49
7.55,0,590,7.0,2,0,1,4,1.1,71
6.86,0,617,30.0,10,5,4,3,4.0,100
6.67,0,311,27.0,10,2,4,4,5.9,99
7.51,1,567,6.0,4,3,1,3,5.6,74
7.44,0,587,23.0,10,9,5,4,4.2,100
8.36,0,574,16.0,6,2,1,5,3.8,66
7.31,0,452,10.0,4,3,1,2,1.6,59
6.87,2,522,15.0,4,1,3,5,5.1,76
6.47,0,347,18.0,7,2,5,0,5.2,100
9.56,0,462,7.0,5,2,2,3,2.8,80
7.38,0,627,16.0,6,3,2,3,3.6,72
7.79,0,677,25.0,7,4,2,5,4.6,92
6.75,0,550,5.0,5,5,2,2,3.1,61
7.64,1,553,30.0,11,5,5,5,4.5,100
7.39,0,642,9.0,6,3,2,4,3.8,86
7.26,0,725,0.0,1,0,0,2,2.5,50
7.99,0,684,28.0,10,6,4,4,4.8,100
7.31,0,573,25.0,9,4,6,2,4.8,100
8.23,0,381,19.0,5,4,2,0,4.3,80
6.56,0,439,28.0,9,3,5,3,2.2,99
7.86,0,493,16.0,5,5,2,0,3.4,81
9.09,0,826,18.0,6,3,3,4,3.9,91
7.6,0,841,3.0,1,0,0,2,3.4,61
8.0,0,744,21.0,6,5,2,6,3.4,76
6.75,0,836,21.0,8,5,1,6,2.3,70
7.84,0,777,10.0,5,3,2,1,5.6,84
7.81,0,432,29.0,8,2,4,2,3.4,100
7.93,0,777,24.0,8,6,2,2,4.2,89
7.13,0,596,31.0,11,4,5,3,2.9,100
6.7,1,699,20.0,5,0,4,1,5.1,100
8.22,0,679,19.0,6,3,2,0,2.9,72
6.5,0,654,,5,0,3,2,5.1,78
7.53,0,780,28.0,10,4,10,4,8.0,100
7.81,0,679,38.0,11,2,5,2,5.4,100
8.36,0,485,6.0,5,1,1,7,2.7,78
7.94,0,641,17.0,8,4,4,3,5.6,100
8.49,0,703,8.0,4,3,1,3,3.4,39
7.22,0,447,11.0,6,2,2,6,2.8,62
8.03,0,707,22.0,7,3,3,1,4.3,79
7.57,0,667,20.0,8,6,3,4,4.2,75
7.69,0,747,29.0,10,4,4,4,4.4,100
8.73,0,635,23.0,8,2,3,0,3.5,91
7.44,0,659,19.0,4,1,1,2,1.8,76
6.77,0,689,10.0,3,2,2,3,4.2,84
6.91,0,354,27.0,11,4,5,4,4.2,100
6.03,0,519,16.0,3,3,2,2,3.6,78
6.4,0,460,12.0,6,4,3,5,4.0,79
7.21,0,745,2.0,1,0,1,4,3.0,64
6.69,0,611,37.0,11,1,5,0,6.1,100
7.54,3,852,30.0,10,3,6,5,5.2,100
7.66,3,698,36.0,10,6,2,5,2.8,98
6.67,0,557,27.0,10,2,4,0,4.3,85
8.52,0,603,22.0,8,0,4,3,6.5,90
6.1,1,538,16.0,5,1,2,0,1.7,68
7.09,0,689,18.0,8,6,3,3,2.4,83
8.72,0,781,30.0,9,6,5,4,3.8,100
7.27,0,504,29.0,10,4,5,5,4.4,100
6.48,0,661,12.0,4,3,2,2,4.0,62
6.79,0,736,8.0,4,1,2,0,3.0,77
7.12,2,499,10.0,3,3,2,4,4.2,72
7.24,1,632,17.0,7,1,3,4,4.2,86
8.42,2,907,36.0,11,2,6,2,5.9,100
8.24,0,743,29.0,10,4,4,2,4.4,100
7.52,0,634,34.0,11,5,5,2,6.5,100
5.68,0,528,16.0,5,1,1,5,2.9,41
6.99,1,414,,2,2,3,7,4.8,78
8.76,0,782,11.0,6,2,1,3,2.6,70
7.57,0,567,12.0,3,3,1,3,2.9,72
8.61,0,759,17.0,6,4,2,5,3.2,86
7.37,0,692,17.0,6,3,1,1,2.5,78
8.25,0,619,23.0,9,3,3,8,5.3,84
7.34,2,449,12.0,3,0,4,3,4.6,96
8.69,0,667,19.0,5,3,4,0,4.5,84
9.13,1,815,4.0,3,5,0,5,1.6,73
9.88,0,644,15.0,7,2,3,5,2.7,100
7.55,0,602,7.0,4,0,1,6,2.6,61
7.74,0,545,15.0,3,2,2,2,1.8,56
7.33,0,871,3.0,4,1,3,1,6.3,100
8.49,2,574,28.0,7,0,1,1,4.4,77
7.22,0,562,20.0,5,4,2,4,4.0,91
8.16,0,671,27.0,8,4,5,0,5.6,92
7.34,1,667,16.0,5,0,2,3,4.5,81
7.12,0,511,37.0,9,4,6,1,5.6,100
6.73,0,693,36.0,10,5,6,2,6.4,100
6.46,0,623,13.0,5,2,1,6,0.7,71
7.27,0,564,19.0,5,2,2,3,2.5,66
6.85,0,824,5.0,5,5,4,1,2.9,94
7.78,1,450,29.0,10,7,7,3,7.0,100
7.46,0,554,28.0,9,4,5,1,4.5,100
7.55,0,632,26.0,8,4,5,4,5.2,100
6.2,0,576,0.0,1,0,2,4,2.1,53
7.57,0,764,16.0,5,4,2,4,2.0,67
7.8,0,631,27.0,6,4,2,0,5.2,100
6.22,2,616,16.0,6,2,1,1,2.7,62
6.23,2,565,16.0,9,8,4,0,4.2,100
8.21,1,516,12.0,7,4,4,3,3.8,87
5.57,0,776,23.0,7,2,3,2,3.5,89
7.24,0,817,43.0,12,5,6,0,5.5,100
8.32,0,824,31.0,8,2,5,4,5.7,100
6.18,0,667,19.0,6,0,1,5,3.9,75
6.11,0,482,20.0,6,3,2,5,3.2,100
6.85,0,655,5.0,1,0,1,2,2.6,62
7.38,0,812,17.0,5,0,1,1,3.1,51
8.7,0,408,36.0,9,3,7,5,7.1,100
7.47,2,582,11.0,3,1,3,2,3.7,92
7.88,0,436,20.0,8,1,4,2,5.4,100
7.73,2,826,6.0,6,0,6,4,3.9,100
6.26,0,657,36.0,12,7,6,6,4.0,100
9.95,0,840,27.0,8,7,2,0,4.3,83
9.78,1,679,26.0,8,4,3,0,4.3,88
7.47,0,787,11.0,8,1,0,5,1.6,98
8.59,1,742,,9,4,3,1,3.8,100
6.85,0,530,32.0,7,0,3,3,2.9,75
9.08,0,729,7.0,3,5,3,3,4.8,100
6.37,1,853,24.0,10,8,4,3,5.7,99
6.36,1,546,13.0,6,1,3,4,4.6,90
7.3,0,611,45.0,14,10,6,4,7.2,100
8.03,0,726,22.0,7,3,1,4,2.0,78
7.53,2,755,21.0,8,2,5,4,4.9,100
7.85,1,746,13.0,3,2,2,4,4.9,75
6.51,0,749,21.0,6,1,2,4,3.5,74
7.28,1,673,19.0,7,5,4,0,4.5,93
7.34,0,722,17.0,8,5,5,0,4.6,100
7.91,0,604,21.0,6,1,5,4,3.9,100
7.04,1,564,18.0,7,2,3,1,4.6,90
7.78,0,645,14.0,5,3,2,5,3.8,80
7.52,0,613,24.0,9,3,4,0,3.9,100
8.08,0,674,16.0,5,0,5,4,5.8,98
6.6,0,676,13.0,5,2,4,4,2.4,80
6.69,0,556,18.0,7,2,3,1,5.4,93
7.55,0,753,12.0,5,3,2,2,3.3,86
7.11,0,547,16.0,6,3,2,0,3.3,84
7.55,0,576,16.0,8,4,4,2,6.2,100
8.35,1,782,27.0,8,0,3,0,4.8,100
8.88,0,986,20.0,8,3,3,2,3.1,93
6.91,0,619,10.0,6,0,0,3,1.4,65
7.55,0,366,11.0,6,3,2,2,3.1,86
6.26,0,685,13.0,5,3,1,2,5.7,80
7.43,0,549,13.0,5,4,2,3,4.1,87
7.1,1,542,19.0,6,3,1,3,4.1,68
7.38,0,727,16.0,5,4,1,2,3.2,77
9.05,0,695,5.0,5,1,3,2,4.8,86
6.86,0,658,30.0,11,6,7,0,4.1,100
6.9,0,336,37.0,11,4,6,4,4.6,100
7.83,0,519,9.0,5,3,2,3,4.8,82
6.05,0,576,9.0,2,1,0,0,3.2,55
7.4,0,513,23.0,7,4,4,1,4.4,100
8.11,0,603,27.0,8,2,5,3,3.8,100
6.71,1,610,16.0,3,0,2,3,4.5,70
7.38,0,750,12.0,5,1,2,3,3.0,78
6.3,2,527,25.0,8,3,4,4,4.1,92
6.98,0,618,24.0,6,1,2,4,3.8,68
8.66,0,812,22.0,9,2,2,3,3.3,91
7.75,0,725,16.0,4,0,3,3,3.8,95
8.81,0,593,15.0,2,0,1,5,3.4,56
7.76,1,554,23.0,5,1,3,1,4.6,69
7.81,0,841,11.0,5,0,2,0,5.0,75
6.7,1,629,16.0,6,5,2,3,5.6,87
5.98,1,501,11.0,4,2,2,0,3.1,82
7.89,0,488,16.0,7,3,2,4,4.7,91
8.97,0,618,24.0,7,2,2,3,4.5,96
6.98,0,576,26.0,6,2,2,1,4.0,86
7.07,0,786,32.0,10,4,4,4,4.5,100
7.45,0,695,43.0,14,6,7,4,6.2,100
8.83,0,653,27.0,6,3,4,0,3.4,92
7.26,0,643,29.0,8,3,6,9,3.6,100
7.18,0,662,27.0,7,5,4,3,6.2,100
6.37,0,392,13.0,5,4,3,2,6.0,73
8.95,1,791,7.0,5,3,2,2,3.1,100
8.04,0,650,10.0,6,2,2,2,1.6,83
8.35,0,634,22.0,7,3,3,2,5.1,100
5.07,2,486,11.0,5,1,2,5,3.2,79
7.13,0,687,26.0,7,2,5,3,5.6,100
7.63,0,808,12.0,4,1,2,1,3.3,73
7.88,0,325,9.0,6,3,2,6,4.1,91
7.49,1,645,39.0,14,9,7,1,5.6,100
6.01,0,472,9.0,5,4,1,2,4.1,92
6.63,0,473,21.0,5,1,3,3,4.2,97
8.2,0,622,21.0,7,3,2,0,4.1,89
6.58,1,812,17.0,4,0,3,1,3.7,85
10.0,0,544,18.0,4,2,2,0,4.8,95
7.07,0,492,30.0,9,3,3,5,5.8,100
6.82,0,513,16.0,7,4,0,5,2.6,59
8.57,1,815,21.0,7,1,4,0,2.9,98
7.03,0,703,42.0,12,8,6,1,5.3,100
9.48,0,755,26.0,8,6,4,5,4.2,100
7.33,0,413,26.0,7,6,4,5,4.8,100
8.13,0,876,29.0,10,4,6,2,6.1,100
6.88,0,607,17.0,4,1,2,1,3.7,100
6.34,0,591,24.0,9,4,2,2,4.3,80
8.42,2,884,23.0,7,3,3,1,2.8,89
6.86,1,715,7.0,3,0,1,2,1.9,82
7.68,1,654,31.0,13,5,6,4,5.6,100
8.16,1,452,16.0,7,4,2,5,3.9,89
7.03,3,546,20.0,6,3,3,3,4.3,94
6.22,3,470,19.0,8,1,3,4,4.4,90
5.95,0,643,27.0,10,5,4,1,3.0,98
7.32,1,776,18.0,4,1,3,2,2.8,81
7.52,0,563,15.0,5,2,0,5,1.8,63
6.85,1,685,16.0,4,2,2,4,2.4,70
7.77,0,687,13.0,5,2,2,2,3.2,83
6.36,0,720,24.0,7,4,2,0,2.9,81
9.69,0,592,23.0,9,3,5,2,4.9,92
7.53,0,578,2.0,3,2,1,5,5.0,65
7.99,0,618,11.0,5,0,2,2,2.8,91
7.75,0,774,34.0,14,7,5,1,4.4,100
6.43,0,792,15.0,5,2,3,2,1.7,66
8.34,0,768,35.0,12,8,7,3,7.1,100
7.64,0,784,22.0,8,2,3,3,3.1,100
9.37,0,680,21.0,7,4,5,0,7.1,100
5.94,2,447,20.0,5,3,0,0,2.2,36
8.09,0,424,6.0,3,1,2,2,2.3,95
8.27,0,635,20.0,7,1,1,2,2.2,77
8.97,0,640,32.0,10,2,2,6,3.9,93
7.48,0,824,25.0,6,1,5,5,5.4,100
6.81,0,470,17.0,6,2,2,3,2.1,100
7.93,0,663,24.0,9,4,5,4,5.5,100
8.04,0,558,24.0,6,3,7,1,6.3,100
7.5,1,462,18.0,3,3,1,3,2.7,64
7.49,0,881,,8,3,5,3,6.0,93
6.5,1,435,8.0,5,4,3,2,1.7,69
7.64,0,682,37.0,12,7,6,1,6.6,100
8.38,3,413,19.0,3,0,0,4,3.4,44
5.84,0,558,20.0,7,4,4,4,3.6,100
7.19,0,646,0.0,2,1,2,1,3.5,66
7.28,0,632,10.0,4,3,3,3,1.9,73
7.84,0,769,40.0,11,4,4,4,3.7,98
7.59,0,607,28.0,9,2,6,1,5.4,100
7.49,0,550,23.0,7,3,2,0,1.6,89
8.24,0,918,8.0,5,2,2,1,3.6,94
5.64,0,584,11.0,5,2,2,2,2.0,58
7.16,3,738,21.0,10,3,5,3,4.0,100
8.23,0,662,9.0,6,3,3,5,3.9,100
9.58,0,838,39.0,12,5,3,5,4.2,100
7.83,0,653,25.0,8,1,4,4,5.7,100
8.19,1,673,,10,6,8,0,5.8,100
6.14,0,618,23.0,7,1,4,3,5.6,100
7.82,2,774,16.0,5,3,3,4,2.5,100
7.78,0,716,,8,4,1,3,4.8,92
8.35,0,592,23.0,6,4,4,2,2.6,80
6.7,0,616,24.0,6,1,6,3,7.2,94
8.07,0,471,3.0,2,2,2,1,5.0,77
6.76,0,529,18.0,6,2,2,3,3.4,100
8.21,0,709,10.0,7,2,3,3,4.3,88
7.63,2,682,20.0,7,3,5,3,5.7,100
7.28,0,609,5.0,1,0,3,4,4.1,84
10.0,0,675,17.0,7,4,6,2,5.2,100
7.14,1,824,1.0,3,2,4,0,2.0,100
6.97,2,622,26.0,8,5,3,3,3.4,83
7.7,0,522,24.0,8,3,3,2,2.6,85
6.93,0,675,16.0,5,4,0,0,2.7,50
7.93,0,672,19.0,6,3,1,0,1.6,78
7.08,2,538,14.0,5,3,1,7,2.8,65
6.44,0,689,24.0,5,0,3,4,5.7,76
9.75,0,887,55.0,15,8,10,3,7.5,100
7.42,0,664,20.0,4,0,2,6,3.4,83
6.49,0,616,37.0,12,3,4,4,4.5,100
8.12,0,701,22.0,7,2,2,4,4.4,86
6.31,1,400,0.0,3,0,2,5,5.3,95
7.36,0,488,18.0,6,2,2,0,4.5,81
6.42,0,635,25.0,8,5,2,3,3.7,97
6.59,1,675,14.0,6,0,2,5,2.7,74
7.6,0,655,5.0,4,0,2,0,2.9,87
8.06,0,717,7.0,5,1,1,3,3.7,74
6.27,0,684,1.0,2,1,2,1,3.7,77
6.22,0,422,30.0,9,3,5,3,4.9,100
6.43,0,772,22.0,6,4,4,0,4.3,86
7.54,1,634,22.0,5,1,1,1,3.5,75
7.06,0,299,26.0,8,0,3,1,3.7,100
6.43,1,600,19.0,5,2,4,0,6.7,78
6.62,0,450,40.0,10,2,5,4,5.4,100
7.66,1,711,18.0,8,4,3,1,2.5,100
7.93,0,910,9.0,4,3,1,5,2.8,66
6.94,1,687,0.0,1,1,2,3,2.1,74
9.32,1,598,35.0,10,5,5,3,3.9,90
6.57,2,696,12.0,4,4,3,0,3.8,89
7.32,1,504,18.0,5,1,3,3,3.9,88
8.47,2,692,10.0,4,3,3,0,5.9,87
7.19,0,938,2.0,3,0,2,0,1.3,98
6.4,0,623,20.0,7,4,3,5,2.6,77
7.9,0,683,1.0,2,1,2,6,4.1,90
7.95,0,631,31.0,9,5,4,6,5.4,100
9.03,1,912,6.0,4,3,3,3,2.8,91
8.72,0,580,12.0,7,4,5,3,4.9,99
8.26,0,674,4.0,3,0,1,1,3.8,66
7.88,1,726,13.0,5,1,1,0,4.6,62
6.74,1,517,8.0,4,2,2,0,3.3,69
7.8,0,595,7.0,1,1,0,5,1.9,51
6.54,2,629,36.0,13,8,4,1,4.2,100
7.13,0,785,16.0,5,2,2,6,2.7,89
7.2,0,743,21.0,7,3,4,2,4.1,100
7.65,0,431,22.0,6,5,4,2,3.8,95
6.54,2,546,18.0,8,4,4,4,2.5,100
7.7,1,525,11.0,6,2,4,4,3.9,100
6.75,2,656,20.0,8,5,1,1,2.0,71
8.42,0,620,2.0,3,1,1,4,2.7,66
8.6,2,657,8.0,4,1,2,0,2.9,83
8.68,0,682,,9,2,4,0,4.3,100
8.25,1,613,20.0,6,2,3,0,3.1,90
8.3,0,634,5.0,3,0,1,0,2.9,53
7.69,0,698,11.0,4,4,0,0,3.3,60
6.88,0,504,14.0,4,4,0,0,1.0,50
7.57,0,615,11.0,2,0,0,4,3.6,41
6.85,0,780,24.0,10,3,2,5,2.6,100
7.01,1,608,28.0,7,3,5,3,5.7,100
7.55,0,726,16.0,5,0,4,5,3.6,92
7.02,0,633,25.0,8,2,5,5,4.9,90
7.0,0,490,18.0,3,1,1,2,1.9,79
7.56,0,627,2.0,3,3,1,0,4.1,61
7.69,0,649,19.0,8,3,4,1,3.1,100
8.05,0,674,7.0,3,0,2,4,2.2,73
5.93,1,599,13.0,5,0,1,1,3.1,63
8.24,0,379,8.0,4,3,3,2,3.2,100
6.05,0,692,25.0,6,1,2,4,2.3,80
7.07,1,580,31.0,11,2,5,4,5.5,100
8.75,3,654,12.0,4,4,1,4,1.0,85
7.9,0,797,17.0,6,3,3,3,3.1,100
7.29,0,595,6.0,3,2,0,2,3.9,57
7.96,0,591,15.0,6,0,1,1,2.5,90
7.45,0,681,14.0,3,0,1,5,3.3,87
7.59,1,553,25.0,10,4,7,2,5.1,100
8.08,0,616,27.0,6,1,1,1,4.5,67
9.21,0,725,22.0,9,4,4,0,5.2,93
6.9,0,666,31.0,13,6,5,1,5.2,100
8.08,0,668,28.0,9,4,5,6,4.6,100
7.72,0,775,21.0,7,2,3,1,4.1,91
6.09,0,637,32.0,13,5,4,3,4.8,100
7.67,0,929,20.0,7,2,4,2,6.8,99
6.05,0,465,16.0,6,5,5,2,4.5,92
7.32,1,851,23.0,6,3,3,1,4.8,90
6.77,0,781,19.0,6,6,2,6,3.7,94
8.38,1,688,8.0,4,0,0,6,1.1,41
7.65,0,516,9.0,3,0,1,2,1.2,58
8.43,0,772,6.0,5,5,2,3,4.1,85
7.47,0,525,22.0,7,4,4,1,4.9,95
7.32,0,660,17.0,7,0,4,7,4.2,100
6.67,0,488,9.0,4,3,1,0,4.2,70
7.24,0,605,29.0,9,3,6,5,4.7,100
7.82,0,611,23.0,6,2,3,6,3.5,92
7.07,0,693,22.0,8,1,6,4,6.1,100
8.34,0,633,32.0,8,3,1,5,4.6,74
7.53,0,745,22.0,9,5,3,2,3.1,80
7.49,0,637,0.0,2,0,3,0,3.2,88
7.56,0,745,8.0,5,3,2,0,4.8,73
7.7,0,637,23.0,11,5,8,2,5.3,100
7.77,0,619,31.0,10,3,5,3,4.2,100
8.13,1,713,22.0,7,2,6,2,4.1,100
6.72,0,671,9.0,4,2,0,7,1.8,63
7.44,0,554,15.0,5,2,2,3,3.9,83
6.67,0,409,6.0,3,1,2,0,3.2,62
8.47,0,656,7.0,3,1,2,1,3.6,78
8.2,1,576,18.0,7,2,4,3,4.6,80
7.08,1,600,33.0,10,3,6,1,5.8,100
9.31,0,478,18.0,8,3,4,4,4.6,93
8.66,2,669,27.0,6,5,2,2,4.4,87
6.9,0,588,27.0,8,3,3,5,2.6,82
6.75,0,497,13.0,6,6,2,3,2.6,78
5.74,2,390,25.0,6,1,2,1,2.9,71
8.59,3,749,25.0,10,5,4,1,5.6,97
6.6,0,559,18.0,5,0,1,5,2.2,38
7.23,0,715,16.0,5,3,4,1,5.3,99
6.23,0,663,8.0,2,0,1,0,2.0,83
7.03,0,916,25.0,6,0,2,5,4.7,69
7.45,1,755,26.0,9,4,3,1,3.5,96
7.42,3,589,13.0,5,3,1,0,2.8,75
7.84,2,742,28.0,7,4,4,4,3.2,100
7.9,2,664,37.0,10,5,4,3,3.1,100
6.37,0,813,22.0,10,5,4,0,1.6,100
7.21,0,754,29.0,9,2,6,6,5.8,100
7.54,0,571,12.0,7,2,5,4,4.4,100
7.51,0,572,26.0,9,6,3,0,3.9,100
6.36,1,530,20.0,7,4,1,2,3.1,95
7.16,0,540,17.0,4,0,3,5,2.7,68
7.28,0,555,0.0,1,2,0,3,2.5,75
6.24,0,725,27.0,11,3,5,6,4.7,89
7.8,1,665,20.0,7,1,2,4,5.1,100
7.15,0,781,17.0,7,4,4,0,4.1,84
7.53,1,733,21.0,6,3,4,0,4.5,91
6.09,1,516,29.0,8,0,2,3,4.5,100
7.08,0,724,12.0,4,3,1,6,3.8,72
9.2,0,791,18.0,6,3,3,5,4.3,86
7.73,0,588,23.0,8,2,2,3,2.9,85
6.9,0,616,19.0,4,3,1,2,3.2,68
7.27,1,723,27.0,9,6,3,6,4.1,92
6.66,0,783,8.0,2,1,3,0,3.4,83
8.05,0,650,25.0,7,3,4,3,5.3,100
6.7,1,684,13.0,8,5,2,3,2.9,88
6.18,0,852,28.0,7,4,1,2,3.2,100
7.49,0,660,18.0,5,3,2,4,2.9,70
7.37,0,537,18.0,6,5,4,4,5.0,92
8.46,0,486,19.0,8,3,3,2,4.6,100
6.17,0,730,18.0,6,1,1,1,1.5,74
6.92,3,595,1.0,4,3,2,1,3.0,70
5.71,0,592,19.0,6,8,2,4,4.7,75
7.26,0,506,24.0,10,4,6,2,5.5,100
7.56,0,781,26.0,7,2,2,5,4.7,77
7.16,2,710,25.0,7,5,2,1,4.9,78
5.62,0,759,16.0,5,0,4,2,5.3,100
8.21,0,294,6.0,3,0,2,2,2.9,75
7.67,0,689,16.0,8,4,5,0,6.0,100
7.17,0,740,15.0,6,2,4,0,6.2,93
8.19,0,747,25.0,9,6,4,0,5.2,100
6.21,0,511,13.0,5,4,1,2,2.2,66
7.61,0,657,27.0,10,7,6,3,5.9,100
7.64,0,762,34.0,10,4,6,6,5.1,100
9.01,2,658,14.0,5,2,2,1,4.8,99
9.13,0,720,30.0,8,4,1,4,3.1,83
7.2,1,672,16.0,8,3,6,0,4.7,100
8.79,1,701,12.0,5,2,3,4,3.7,100
7.19,0,735,12.0,2,0,2,3,1.1,69
8.03,0,764,14.0,5,2,1,3,0.0,95
8.82,1,799,9.0,3,0,2,1,4.0,82
7.24,2,656,14.0,7,1,3,1,3.9,95
6.98,0,596,20.0,5,2,3,2,4.9,95
7.18,0,576,12.0,4,0,1,3,3.3,80
7.48,0,737,23.0,7,4,1,2,5.8,97
7.32,0,595,15.0,6,3,4,0,3.7,100
7.39,0,755,12.0,5,2,3,2,5.1,95
8.01,1,830,11.0,5,3,2,6,3.5,72
8.59,1,825,11.0,5,0,2,3,5.2,91
7.13,0,441,22.0,8,3,5,3,5.0,94
8.42,0,1008,0.0,1,0,2,2,3.1,64
7.31,0,509,26.0,5,1,3,3,4.6,68
6.91,1,866,15.0,6,2,1,1,2.4,75
6.08,0,625,21.0,8,5,2,4,4.7,91
7.62,0,651,6.0,4,1,4,4,5.4,76
7.83,0,485,35.0,9,2,2,2,3.0,89
7.27,0,350,17.0,6,2,4,4,5.0,100
5.79,0,624,17.0,4,0,1,4,1.9,56
7.63,0,603,2.0,3,0,1,2,2.3,51
7.6,1,631,21.0,7,3,4,3,4.6,79
6.26,0,606,30.0,7,2,1,4,2.4,59
7.08,2,587,18.0,7,4,3,2,3.9,81
7.91,0,883,33.0,11,4,8,1,6.4,100
6.99,0,501,23.0,11,4,6,1,4.9,99
6.31,0,458,16.0,7,1,2,0,2.3,77
7.34,0,529,11.0,6,2,1,2,2.3,66
7.05,1,813,35.0,12,7,4,3,3.4,100
7.74,0,663,28.0,9,3,5,3,5.6,100
6.8,0,587,8.0,5,3,1,1,4.2,56
7.23,0,684,14.0,5,2,2,2,1.0,96
7.0,2,549,11.0,2,0,1,7,3.4,47
7.47,0,708,24.0,8,3,4,7,4.7,95
7.48,0,742,30.0,10,7,5,3,5.5,100
8.49,1,925,23.0,7,4,1,5,6.1,56
7.92,0,550,22.0,8,2,4,4,4.9,100
8.49,1,588,11.0,4,1,0,0,3.8,61
8.35,3,598,17.0,5,3,1,4,1.9,69
7.87,0,631,14.0,7,2,4,1,5.3,100
7.51,0,538,17.0,7,1,2,5,4.7,76
8.0,0,733,32.0,10,4,3,2,4.9,99
7.0,3,629,23.0,7,3,2,5,4.4,83
8.04,3,570,41.0,12,7,8,3,6.7,100
7.19,0,856,27.0,6,4,4,3,4.6,98
7.64,0,736,18.0,6,4,2,6,5.0,58
6.4,0,575,7.0,5,3,4,1,3.6,100
6.88,3,703,38.0,10,3,6,4,6.2,100
6.3,0,646,8.0,3,2,2,5,2.2,88
6.8,0,506,21.0,9,4,4,3,5.1,89
8.53,0,445,12.0,3,0,1,2,3.3,43
7.02,1,797,28.0,9,7,4,2,5.0,100
6.49,1,572,11.0,5,2,1,4,3.2,75
8.03,0,784,36.0,10,8,5,5,4.2,100
6.69,0,629,20.0,5,3,2,4,2.8,92
6.87,0,749,17.0,7,5,3,0,3.0,89
6.4,0,743,24.0,6,1,3,2,4.8,100
7.78,0,625,7.0,4,4,1,1,1.4,64
7.79,0,764,22.0,10,5,4,0,5.2,100
6.32,0,873,31.0,9,1,4,3,5.1,100
6.47,1,695,13.0,5,3,2,2,2.4,79
6.2,1,640,29.0,7,3,5,0,2.7,100
7.57,0,775,24.0,7,0,6,3,5.7,100
6.3,3,522,8.0,6,4,5,3,4.6,100
6.66,0,491,15.0,6,3,1,0,1.7,87
7.43,0,512,25.0,6,3,6,2,5.8,100
7.53,1,639,17.0,7,0,1,3,2.1,68
8.61,0,798,29.0,7,5,3,2,4.2,97
7.11,1,651,5.0,7,1,1,3,4.0,63
6.26,0,544,22.0,8,3,1,0,3.7,100
6.5,0,500,25.0,6,2,2,1,2.7,62
7.7,0,782,21.0,4,1,1,0,4.3,72
